Date,Focus,Summary,Challenges/Problems,Next Steps,Members,"Media Links / Additional Notes (i.e. GooglePhotos link, video link, etc.)"
10/17/2020,Wobble Goal prototype,"We brainstormed different prototypes for picking up the wobble goal and placing them outside the playing field. We essentially came up with two ideas, one V-shaped prototype and another circular clamp.","After CADing the circular clamp prototype, we tested in on the wobble goal and realized it would need a lot of driver precision. To solve this problem, I think we will try prototyping the V-shaped prototype since it doesn't require as much driver precision.",CAD and laser cut V-shaped prototype and test out.,"Jolie, Annie, Amelia, Maya, Abby G",
10/24/2020,Build horizontal intake mech,"Continuing on from what we were working on last week, we cut some properly-size axles for our wheels. We then added an extra column of wheels, so in total, we have two. Finally, we added a motor onto our mech and tested it out with a ring;  it was a success! 
","We had some trouble figuring out how to make sure the wheels were level and lined up properly. There was also some difficulty determining how much space would be between the wheels and the ground in order for the mech to quickly pick up the rings. 
","Next time, we are going to work on mounting our mech onto a ramp. We will test out different ramp angles and distances between the ramp and wheels. ","Alyssa, Hannah",
10/24/2020,Launch Mech,"We tested out two possibilities for launching - a system where the entire launcher is angled and we adjust the intake ramp, and another system where the launcher is horizontal and we adjust the launch ramp angle.
",One of the challenges is that finding the correct angle to adjust the launch ramp to is a bit tricky and so will be actually attaching the ramp. We had to reassemble the wheel axle and spacers. ,"Next time we are going to work on attaching a motor (washers are needed between the plates on the motor), building and attaching a ramp (which will be a minor adjustment to the board we have currently), and finding a way to secure/keep the ramp upright. ","Annie, Ellie, Jolie, Abby G",
10/24/2020,goBILDA chassis,"I finished assembling the wheels onto the goBILDA chassis.
",Sometimes the shaft collar was not in the most prominent location for builders to tighten screws on it to attach wheels to the rest of the chassis. We just took out the screws and realigned the shaft collar. ,The goBILDA chassis is now ready for coders to use!,Amelia,
10/24/2020,Launch mech prototype,I worked on assembling the second prototype of our ring-launching mechanism.,"
",We need to find a sturdy yet compact way of mounting the launch mechanism 2.,Jordyn,
10/31/2020,Wobble goal mech,I laser-printed a prototype of our wobble goal lifting mechanism and colored it.,I think our next prototype should be cut from acrylic because I think this particular wood is too flimsy for the weight of the wobble goal.,,Jordyn,
10/31/2020,Launch mech,I assembled and attached a system to keep the launching mech on the robot and to keep the ramp on. We tested multiple ramp lengths and determined that the ramps I labeled 1 and 3 are the best lengths; 2 is too short (not consistent enough) and 4 is too long (sacrifices too much speed).,"One of the challenges is keeping testing consistent; we need to make sure that the mech doesn't shake at all during launching and that it is firmly attached to whatever we're testing it from. The other challenge is that we realized the rubber part of the wheel expanded due to the centrifugal force of the rotation, thus causing some burning due to friction.","We will need to reassemble the main mechanism at some point-- we need a new spacer on the axle (to prevent the burning) and we need to make sure that the smooth sides are facing in. Furthermore, at some point we will likely need to use loctite on the nuts in the launch mech brace given how much the motor is currently vibrating.",Annie,
11/7/2020,CAD,We started a motor mount for the launch mech.,,"Add the piece for attaching to the wood, then print it out and test.",Maya,
11/7/2020,Launch Mech,"Today we considered small redesigns to our current mech. The half circle launcher did not work well with the intake in terms of spacing on the robot and the logistics. We began by brainstorming different ways we could utilize the half circle considering doing vertical launching, but finally landing on cutting it into a quarter circle.",We have to see if the quarter circle with less time/space for acceleration will still produce the same launching effect and projectile motion. We attempted test launching with a previous prototype by cutting it into a quarter circle and realized it still works.,"Laser cut the new quarter circles, assemble, and continue to test to make sure that this alteration to our old mech is what we want to use.","Karina, Annie, Amelia, Ellie, Jolie",
11/7/2020,Launch mech,I printed and assembled our new quarter-circle shaped launch mech. I also disassembled one of our previous prototypes for parts.,"When this new mech is on the robot, it creates some interesting angles with our intake mech.","We are waiting for the new wheel for this mech to arrive next week, so at the next meeting we can likely finish assembling and test this prototype.",Jordyn,
11/14/2020 (morning),Launch mech,We switched to our new Andy Mark Compliant wheels for the launch mech and worked on implementing the motor mount. Both required some adjustments to clear the way for the spinning of the wheel.,The motor mount didn't fit the heads of the M3 screws. Today we used a dremel to make room.,We should print out the adjusted motor mount.,Maya,
11/14/2020,Intake,"We tested intake, brainstormed, and prototyped the additions to intake we're going to need to make. The issue was that the current intake works perfectly once it's in contact with a ring, but that in order to get a ring into it, there is a significant amount of force necessary. We decided to try using the small AndyMark wheels rotating on a vertical axle as our first stage for intake.",One of the challenges was that we didn't have enough motor switches to test multiple motors (because they had to move in opposite directions) so we had to make new wires to connect the power switches to the power poles once we tested the intake ramp with the new horizontally spinning intake.,"The next steps include finalizing the vertical axle setup (adding a second point of contact and replacing them with shorter axles) and then attaching them to the current intake ramp and the robot. One big picture issue is that we may want to design and laser cut a new piece that is both the bottom layer of the launcher and the intake ramp (with the slits cut to make the connection bendy) instead of having two separate pieces. We could also switch the first set of red wheels on intake into new green squishy wheels. It helps us lower the number of motors we use on the robot, allowing for more motors when we make the wobble goal mech.","Alyssa, Hannah, Amelia, Annie",
11/21/2020 (morning),Intake,We tested the intake mech with the ramp at varying heights. We decided to reassemble the mech with only AndyMark wheels.,"One of our challenges when testing the mech, was that the lack of distance between the wheels and the ramp was too small, causing the motor to begin overheating from the extra effort needed to spin the wheels. This led to us switching the AndyMark wheels which are squishy and better for the set up we were using.","When testing, we noticed the rings tended to be pushed to the sides of the mech and sometimes off of it completely. We want to add side pieces to make sure the ring stays aligned. We also want to add banding on the top and bottom of the intake mech. After this, we would like to test more angles with the ramp.","Alyssa, Hannah, Amelia, Jolie",
11/21/2020 (afternoon),Intake,"We widened the intake mech to properly center the wheels, and did 
some brief testing to find the angle at which we should mount the
intake.",,"Next, we should find some possible mounting angles, 
so we can work towards mounting the mechanism 
to the robot. We also think a good next step would 
be to file down the end of the base of the intake to 
make it more level to the floor, creating less of a 
hurdle for the disc to overcome while we bring it 
into the robot.","Jordyn, Maya",
12/5/2020 (morning),Intake,"We cut a new temporary ramp out of scrap wood. We then tested different angles of intake, and found that the best height for the ramp was between 20 and 25 cm, meaning that the angle range would be 30.85 to 39.87 degrees. After that, we ran some timed trials to see how fast each angle/height took in a ring and concluded that heights closer to 20 cm were more efficient.","The ramp was not very level with the ground, causing the wheels to get caught on the edge. We sawed it down to solve this isssue. The distance between the wheel and the ramp was too big for the wheels to properly transport the rings. We decided to move the wheels and ramp closer together. The ramp was also sliding when we attempted to use the mech, so we hot glued it to the sides of the mech to keep it in place.",We would like to add banding on the top and bottom of the intake mech. We would also like use the new ramp that is connected to the launch mech and work toward mounting the mechanism to the robot.,"Hannah, Alyssa, Jolie",
12/5/2020 (morning),Launcher + intake ramp,We adjusted the CAD design for the intake and  launcher ramp. ,"The lines at the bend section did not overlap with each other which
caused the ramp to break when we tried to bend it. We just adjusted the design so that the lines overlapped which solved the issue.","We would like to assemble the ramp to intake and 
assemble the launcher as well.  We would also like to add something that guides the rings in the right position as it is taken onto the ramp.","Ellie, Maya, Amelia",
12/5/2020 (morning),Launcher,"Today was mostly assembling a ""brace"" for the body of the launcher mechanism such that we will be able to attach it to the intake mech.",The original prototype was missing so that we had to remake it. We were able to quickly reassemble the mech.,"The afternoon members can, after assembling the 
ramp piece to the intake and launcher mech, put it 
into the brace that we made and tighten the brace.",Annie,
12/5/2020 (afternoon),Launcher + intake ramp,"After laser-cutting and drilling holes for our latest prototype, we found that the newest version of the launcher has a great enough decrease in radius that we knew it was going to cause issues. Another team member then worked on making a new CAD model with the original radius, but still with our other most recent updates.",,We should laser cut and assemble the next model and test it.,Jordyn,
12/5/2020 (afternoon),Intake mech,"I used the saw for the first time today and cut a piece that would just secure the sides of the intake mech. I then attached the whole mech (the wheels and the board) to the chassis on the right side with L pieces, one with a spacer to avoid other screws. For one of them, there was a problem with spacing because it was impossible to get either a nut or a screw on the inside of the U piece of the chassis because of the wheel battery, so I was taught how to make my own holes with a drill so that there was no need for a nut, it would just screw into the chassis. ",The holes would not line up or I had trouble figuring it out. I would also often screw something in just to realize that I should have done it another way and then redo it.,Secure the front left side of the intake mech with an L or an U piece.,Karina,
12/12/2020 (afternoon),Intake mech,"The first issue that we ran into was that the way the screws that were holding the intake mech at an angle were not spaced properly on either side, so it caused the axles on the mech to be not parallel. We fixed this by using a longer screw as a spacer. After adjusting back and forth between angles (we finally decided on a 40-degree angle), we found that 1, the ramp insert was too long, and 2, the middle row of wheels on the mech did not cover enough surface area to properly ""catch"" the wheel. We solved the first issue by cutting the ramp and found that for the second issue, the rings will push each other upwards so it's not THAT big of an issue but it should still be fixed.","One thing we (as a team) noticed about the CADed launching mech platform is that when we slid the intake mech part into the mech itself, the rest of the CADed piece went over the other side of the robot, making it too long. There was also trouble with the intake of the rings itself, but we do not know how the change in angle effected that aspect.","Change the CADed piece so that it is shorter in the intake part and the bendy part so it does not go over the 18"".",Karina,
1/23/2021 (morning),Intake mech,We adjusted the angle and placement of the mounted intake mech. We also cut down the ramp to account for the maximum size of the robot.,"The first issue that we ran into was that the way the screws that were holding the intake mech at an angle were not spaced properly on either side, so it caused the axles on the mech to be not parallel. We fixed this by using a longer screw as a spacer. After adjusting back and forth between angles (we finally decided on a 40-degree angle), we found that 1) the ramp insert was too long, and 2) the middle row of wheels on the mech did not cover enough surface area to properly ""catch"" the wheel. We solved the first issue by cutting the ramp and found that for the second issue, the rings will push each other upwards so it's not THAT big of an issue but it should still be fixed.",Secure the ramp of the intake mech. Attach the remainder of the launch mech. Adjust the middle row of wheels.,"Alyssa, Hannah, Ellie","The intake and launching mech are too long and do not fit with in the 18 inch limits, so there probably needs to be some adjustments to the design. This is something to fix after the scrimmage."
1/23/2021 (morning),Inspection and Score Sheet,Today we gathered all the markers and team signs needed for next weeks scrimage. We then went through the inspection sheets and checked our robot. The last thing we did was create a score sheet where we could keep track of how many points and goals scored during a scrimmage and who we were up against.,We had a bit of trouble finding the exact measurements for the power button and how to organize the score sheet in a clear and simple way.,,"Abby G, Annie",
1/23/2021 (afternoon),Robot assembly,"This afternoon, we assembled the robot by attaching the new rev and control hubs, battery, the launch mechanism, and camera. ","We had some issues attaching the control hub, but we worked through them. ",,"Abby B,  Annie",
2/6/2021 (morning),Redesign + intake,"Today, we gathered breifly after the team debrief to discuss 
redesigning the robot. Our main change was to make intake and 
the launcher to be one long piece. We focused on the intake. We made
some measurements, cut out the ramp, cut out pieces (axle, t-slot pieces)
, and assembled the new intake. We decided to use three sets of wheels
per axle (each row) and four rows in total, partially to address the 
spacing issue from before. ",We had some difficulties making sure the belts on the intake were tight enough.  The spacing between the wheel and their distance from the front of the axle are two other problems we had to tackle. We will re-adjust the wheels' distance from the front of axles later.,"Attach the bottom and top rails of the intake; 
possibly adjusting wheels (the axles) so that the 
wheels are positioned closer to the ground in order
to intake rings (adjust how far or close they are to the front end of the axle). ","Alyssa, Hannah, Amelia, Jolie",
2/13/2021 (morning),Redisigning intake,"Today, we realized that in order to bring the wheels all the way up to the launcher, we needed to add length to the ramp and therefore make the entire intake longer. We tried using longer belts, but they were too long. We switched over to chains and reconstructed the mech with them.","We were out of the proper-length pulleys, so the spacing ended up being way too big for the mech to properly fit together. We opted for chains and gears instead of belts and pulleys instead. After we installed the chains, there was also some difficulty aligning the wheels and chains so that they were all parallel to one another. ",Attach the wheel portion of the intake to the ramp section.  Attach finished intake to launcher..,"Alyssa, Hannah, Ellie",
2/13/2021 (afternoon),Launcher,"I attached the green squishy wheels to motors, and attached those two contraptions to two bars to create the new launch mech.  We then connected the motors to batteries to test the mech and it worked extremely well, making the rings go very far. ","The wheels expanded when spinning, and I attached them too close to a supporting flat piece that it scraped a little, so then I had to shift everything over without moving it too much for the other wheel to have that problem. ",Attach the whole mech to the chassis,Karina,
2/20/2021 (morning),Wobble goal pieces ,"We made measurements of the rev servos in order to laser cut pieces that would connect to the servo, and then put threaded collars on. Once intake has been fine-tuned, we'll be able to easily attach the servo mechanisms","We needed to figure out the right diameter for the hole that would go over ther servo, so we used trial and error to test out multiple hole sizes to see which would fit the best.",Attach the servo and connected arm onto the robot.,"Amelia, Jolie, Annie",
2/20/2021 (morning),Intake adjustments,"First, we added an extension to the ramp so that it would reach the ground and wouldn't block the wheels. Then, we adjusted the intake wheels a little higher so that the intake could catch onto the rings without needing to be pressed against the wall. We also added a ""wall"" to the side of the ramp so that the wheels would not go off the side. Finally, we added Loctite to the screws on the gears and adjusted spacing between the wheels. ","Adjusting the intake wheels was tedious, and figuring out the correct height required a lot of trial and error. Additionally, we had to figure out a new way to stabilize the mechanism so that it wouldn't tilt, because it had to be at a certain angle to successfully catch onto the ring.",Stabilize the ramp so that it has at least two contact points.,"Alyssa, Hannah, Ellie",
2/20/2021 (morning),Odometry Wheels building,"We improved the prototype of the articulating wheel with the encoder from last meeting, we made it more stable and solved some of the problmes that we ran into last meeting. We then started replicating the design twice.","We discovered that the screw heads are not actually larger than the encoder's mounts, so they  fell through, we fixed it with washers. We also found that the encoder rubbed against the wheel so we CAD'd some spacers and cut them out, and they worked nicely.","Finish the replications, and test. ","Maya, Liza",
2/20/2021 (afternoon),Launcher angle,"We realized the launch angle wasn't really changeable the way it was mounted, so we decided to remove the supports going down to the chassis (we're planning to add different support connected to what we added once the angle is decided).",We were struggling with how to mount our launch motors at the right angle while also ensuring they were remaining adequately supported to maintain consistency.,"Finalize the launch angle, then fully secure it.","Karina, Kate",
2/27/2021 (morning),Support for launcher,"Since the launcher no longer had support, we decided to add new support in the form of bent metal flats connecting from the launcher to the chasis.","We had to bend the flats to make them match up with the launcher mech which was a bit tricky. After adding the support flats for the launcher, we found that they actually ended up affecting the movement of the launcher wheels (made the distance between pieces holding wheels not parallel, so created tension). The flats bent the launcher mech downwards which also changed the angle of launch.","Fix angle, fix wheel movement.","Alyssa, Hannah, Amelia",
2/27/2021 (morning),Competition Prep,"We went through and made sure that we have an approximation of a packing list even though, obviously, we won't need to actually pack anything for this competition. We also organized the judging presentation and ensured that everyone who will be attending has a part assigned.",N/A,N/A. Enjoy the competition!,"Maya, Annie, Jolie",
2/27/2021 (afternoon),Distance Sensor and Wiring,We mounted the distance sensor and cleaned up the wiring so that the wires were not in the way of any moving parts. ,"Looking for a place to put the distance sensor, and the overall look of the wiring, even when finished. ",Work on the function of the distance sensor.,"Karina, Abby, Kate",
3/6/2021,Fixing Issues Found During Matches,"Today was the first day of qualifiers. While doing practice matches, we discovered that the set screw of the motor was loose, and therefore, in the way of the movement of the launcher wheels. We changed out the motor to fix this issue. Additionally, the lip section of the intake mech was too level with the ground and got caught on the tape on the field. We replaced the lip to fix this issue. ","The set screw of the motor and the lip of the ramp were challenges that we addressed today.  
","Address the following issues discovered during matches: Ramp gets stuck on tape
Needing to go to wall to intake rings
Rings get stuck on one side of intake - extend guide walls to fix this
Make difference between the angles of the launcher and intake smaller or make launcher wheels spin flat/horizontally and have angle at the end of the launcher (like last design)
Servo arms
Stabilize launcher
","Alyssa, Hannah, Ellie,  Annie, Karina, Jolie, Abby G, Amelia, Maya ",
3/27/2021 (morning),Prototyping Intake Barrier,"Today we drew and began prototyping a barrier of wheels for the intake. We used metal flats, servos, and three small wheels on an axle.",,Use bearings to attach axle. Use spacers to keep the wheels on the axle in place. Get and use longer flats. See photo in building slack for design reference.,"Alyssa, Hannah",
4/3/2021 (Morning),Prototyping Intake Barrier,"Today we continued prototyping our wheel barrier with the same materials as last time. We thought about whether or not we wanted the barrier to be free-rolling or controlled by servos, and eventually settled on free-rolling. We decided that the barrier should be one rings' worth of height above the ground at all times. We also began attaching the mech to our old robot just to test how it would work out rolling over a ring.","We struggled with some spacing issues with the bearings (some loose space), but quickly solved that by adding an additional flat piece to tighten it up. We also had some issues coming up with how the mech would drive over the rings, as the mech would have to have some sort of compliability (an ""elbow"" kind of joint system"") to be able to drive over the ring and drop back down. To solve this, as mentioned before, we decided that the barrier would be above ground at all times.","Adjust height and properly attach mech to second robot. Test mech. If successful, work on attaching servos.","Alyssa, Hannah, Karina",
4/3/2021,Wobble Goal Arms,Today I removed the old wobble goal arms from the servo and added the new wobble goal arms that were rounded on the ends. I then attached them to the robot. I also worked on planning out where to place the team number signs. ,I ran into a problem trying to remove the screw attached to the motor but after a while we used plier to hold the circlular component in place. ,"I think once we have all of the components on the robot, the next step would be finding a place for and attaching the team signs.",Abby G,
4/3/2021,Wobble goal lift mech,"I attempted to design and build a wobble goal mech. currently we have a functional arm, but not a gripper. I tried several different prototypes out of plywood, but my attempts to have a non-motorized (or I guess servo-ized) gripper proved unsuccessful. In order to rotate and lift the wobble goal consistently, the gripper will need servos and gears, which I started gettting ready.","I addressed it in the summary, but the challenges were basically just that I was limited by our existing materials, and then limited by the time I had to create new parts. I think we're in a place where I'll be able to finish this in about 2 hours start-to-finish next meeting.","The next steps are to assemble the gripper using the large gears, Tetrix 5-hole channel, and hexshaft couplers, two L-flats and two long hole pieces (I put everything together in a bag in the small prototypes bin).",Annie,
4/10/2021,Ring feeder ,"We began this session by re-assembling the wheel and axle apparatus. We switched from green squishy wheels back to red spikey wheels and also switched back to a thinner axle.  Some others were working on how the mech would drop down from the chassis. For this, we eventually decided on a more free-rolling method: the mech would be mounted on bearings, mounted on the t-slots of the intake mech. There would be an axle holding the mech from falling down, and a servo will basically remove that barrier axle to the side during TeleOp, allowing the mech to fall down and roll freely. There will be axles near the bottom of the chassis, near the front of the intake, to keep the mech from touching the ground. Back to the actual mech, we used Mr. Cox's CNC to drill some holes into square flats to fit some pieces that would help attach the mech to necessary flats. ","We ran into some issues trying to attach the mech to the bot regarding spacing and axle length. We just fixed this by moving certain parts to more convenient locations. We also had some trouble with how we would attach a non-spinning axle to the top of the mech, but we fixed that with Mr. Cox's CNC (as mentioned before) so we could attach the needed parts. ",The next steps are to attach the servo-drop-down mech onto the bot and to make sure that it fits/works with the main feeder mech. Attach axles near bottom of chassis near the front of the intake to make sure the mech doesn't touch the floor.,"Hannah, Alyssa, Ellie, Jolie",
4/17/2021,Engineering Portfolio and Intake Barrier,"We began by editing and upadting the intake and launcher pages of the engineering portfolio. We added more design sketches and information on our design processes. Then, we transitioned to working on the intake barrier. We attatched it to the t-slots of the intake, and added a flat to lift the wheels slightly to allow the row of wheels to go over rings. While testing the barrier, we discovered that if we moved foward while intaking rings, we could intake rings and the barrier was not even necesary. This was made possible because the slots were cut into the first row of rings to allow for better intaking of the rings.","For the engineering portfolio, we had some issues with spacing of the different components on each page and deleting what was absolutely necessary and what wasn't (for visual purposes). We didn't have that much trouble with the intake barrier, other than realizing that with our newly-cut bottom row of wheels, we don't need the intake barrier at all. The supporting flats for the launcher mech also fell a bit out of place.","Since our intake barrier is no longer necessary, there are no further steps we can see in terms of that. Perhaps we could take a further look at the issues we ran into with the launcher not being aligned, if not already fixed.","Alyssa, Hannah",
4/24/2021,Prototyping new odometry wheels,"Since our odometry wheel design both doesn't fit and does not reliably maintain traction, we decided to start some new designs. We investigated new methods of articulation including pegs that slide up and down and bearings to support rotation. We then did research and found a design that would fit into our chassis channels saving valuable space.",We found that space was going to be an issue or a near-issue with any design that rested outside the chassis between the driving wheels. This is one of the reasons we looked into other designs including smaller ones that might live elsewhere on the robot. ,We should look into buying new smaller wheels for odometry or even wheels meant for odometry with built-in encoders. ,"Maya, Liza, Karina",
